"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"AAGFF","Aftermath Silver Ltd.","Canada","","CV:AAG","TSX Venture Exchange","No","Unknown","$49,372,359","237,981","Analyze"
"AASZF","Atlantic Sapphire ASA","Norway","","NO:ASA","Oslo Bors Asa","No","Consumer Staples","$384,987,321","2,925","Analyze"
"AAU","Almaden Minerals Ltd.","Canada","","CT:AMM","Toronto Stock Exchange","Yes","Materials","$55,643,281","546,852","Analyze"
"AAUKF","Anglo American plc","United Kingdom","","LN:AAL","London Stock Exchange","No","Materials","$53,242,141,092","1,078","Analyze"
"ABEPF","Vision Lithium Inc.","Canada","","CV:VLI","TSX Venture Exchange","No","Materials","$18,882,224","1,656,805","Analyze"
"ABST","Absolute Software Corporation","Canada","","CT:ABT","Toronto Stock Exchange","Yes","Information Technology","$575,687,909","61,664","Analyze"
"ACB","Aurora Cannabis Inc.","Canada","Canada","CT:ACB","Toronto Stock Exchange","Yes","Health Care","$1,311,523,703","4,318,569","Analyze"
"ACDVF","Air Canada","Canada","","CT:AC","Toronto Stock Exchange","No","Industrials","$6,514,267,830","195,346","Analyze"
"ACGBF","Agricultural Bank Of China","China","","CG:601288","Shanghai Stock Exchange","No","Financials","$10,623,337,229","6,600","Analyze"
"ACNNF","AusCann Group Holdings Ltd","Australia","","AT:AC8","Asx - All Markets","No","Unknown","$29,076,109","27,758","Analyze"
"ACST","Acasti Pharma Inc.","Canada","","CV:ACST","TSX Venture Exchange","No","Health Care","$56,521,868","1,283,235","Analyze"
"ADDDF","adidas AG","Germany","","GF:ADS","Frankfurt Stock Exchange","No","Consumer Discretionary","$67,157,459,767","423","Analyze"
"ADVZF","Adventus Mining Corp.","Canada","","CV:ADZN","TSX Venture Exchange","No","Materials","$92,192,392","13,860","Analyze"
"AEM","Agnico Eagle Mines Limited","Canada","Canada","CT:AEM","Toronto Stock Exchange","Yes","Materials","$13,147,817,679","1,590,360","Analyze"
"AEZS","Aeterna Zentaris Inc.","Canada","Canada","CT:AEZS","Toronto Stock Exchange","Yes","Health Care","$74,512,751","1,144,752","Analyze"
"AFTPF","Afterpay Ltd","Australia","","AT:APT","Asx - All Markets","No","Information Technology","$26,940,374,489","896","Analyze"
"AG","First Majestic Silver Corp","Canada","Canada","CT:FR","Toronto Stock Exchange","Yes","Materials","$3,105,985,552","3,602,377","Analyze"
"AGI","Alamos Gold Inc Class A","Canada","Canada","CT:AGI","Toronto Stock Exchange","Yes","Materials","$2,926,887,725","2,497,472","Analyze"
"AHODF","Royal Ahold Delhaize N.V.","The Netherlands","","NA:AD","Nyse Euronext - Euronext Amsterdam","No","Consumer Staples","$34,796,498,011","322","Analyze"
"AKOM","Aerkomm Inc.","France","","FP:AKOM","Euronext Paris","No","Unknown","$25,441,815","0","Analyze"
"AKU","Akumin Inc.","Canada","Canada","CT:AKU","Toronto Stock Exchange","Yes","Health Care","$210,993,983","95,517","Analyze"
"AKZOF","Akzo Nobel N.V.","The Netherlands","","NA:AKZA","Nyse Euronext - Euronext Amsterdam","No","Materials","$22,625,577,583","0","Analyze"
"ALBHF","Alibaba Health Info Tech","China","","HK:0241","Hong Kong Exchange","No","Health Care","$19,627,688,100","0","Analyze"
"ALC","Alcon Inc.","Switzerland","Switzerland","SE:ALC","Six Swiss Exchange","Yes","Health Care","$42,468,129,000","749,935","Analyze"
"ALEAF","Aleafia Health Inc.","Canada","","CT:ALEF","Toronto Stock Exchange","No","Unknown","$90,256,069","560,812","Analyze"
"ALKEF","Alkane Resources Ltd","Australia","","AT:ALK","Asx - All Markets","No","Materials","$357,233,280","7,850","Analyze"
"ALMTF","Almonty Industries Inc.","Canada","","CT:ALL","Toronto Stock Exchange","No","Materials","$138,931,282","0","Analyze"
"ALVOF","Alvopetro Energy Ltd.","Canada","","CV:ALV","TSX Venture Exchange","No","Energy","$90,644,092","124,000","Analyze"
"ALYA","Alithya Group Inc. - Class A Subordinate Voting Shares","Canada","Canada","CT:ALYA","Toronto Stock Exchange","Yes","Information Technology","$213,592,629","22,048","Analyze"
"AMBFF","AMBU B","Denmark","Denmark","DC:AMBUB","Omx Nordic Exchange Copenhagen A/S","Yes","Health Care","$6,589,825,994","0","Analyze"
"AMSYF","ArcelorMittal","Luxembourg","","NA:MT","Nyse Euronext - Euronext Amsterdam","No","Materials","$34,454,533,994","0","Analyze"
"AMXEF","Amex Exploration Inc.","Canada","","CV:AMX","TSX Venture Exchange","No","Materials","$164,128,580","175,106","Analyze"
"ANXGF","Anaconda Mining Inc.","Canada","","CT:ANX","Toronto Stock Exchange","No","Materials","$96,039,774","90,648","Analyze"
"AOTVF","Ascot Resources Ltd.","Canada","","CT:AOT","Toronto Stock Exchange","No","Materials","$358,469,607","89,253","Analyze"
"AQN","Algonquin Power & Utilities Corp.","Canada","Canada","CT:AQN","Toronto Stock Exchange","Yes","Utilities","$9,565,700,099","1,422,012","Analyze"
"ARBKF","Argo Blockchain PLC","United Kingdom","","LN:ARB","London Stock Exchange","No","Communication Services","$807,575,389","0","Analyze"
"ARESF","Artis Real Estate Investment Trust","Canada","","CT:AX-UN","Toronto Stock Exchange","No","Real Estate","$1,149,248,000","1,400","Analyze"
"ARREF","Amerigo Resources Ltd","Canada","","CT:ARG","Toronto Stock Exchange","No","Materials","$187,153,194","8,915","Analyze"
"ASCJF","American Shipping Company ASA","Norway","","NO:AMSC","Oslo Bors Asa","No","Unknown","$217,013,150","728","Analyze"
"ASDRF","Ascendant Resources Inc.","Canada","","CT:ASND","Toronto Stock Exchange","No","Unknown","$16,556,728","124,000","Analyze"
"ASM","Avino Silver & Gold Mines Ltd.","Canada","The Netherlands","CT:ASM","Toronto Stock Exchange","Yes","Information Technology","$88,177,818","579,502","Analyze"
"ATBPF","Antibe Therapeutics Inc.","Canada","","CV:ATE","TSX Venture Exchange","No","Health Care","$50,243,596","0","Analyze"
"ATUSF","Altius Minerals Corporation","Canada","","CT:ALS","Toronto Stock Exchange","No","Materials","$528,288,879","17,002","Analyze"
"AUPH","Aurinia Pharmaceuticals Inc","Canada","Canada","CT:AUP","Toronto Stock Exchange","Yes","Health Care","$2,488,313,065","4,566,636","Analyze"
"AUXXF","Allegiant Gold Ltd.","Canada","","CV:AUAU","TSX Venture Exchange","No","Materials","$24,559,622","42,196","Analyze"
"AUY","Yamana Gold Inc.","Canada","Canada","CT:YRI","Toronto Stock Exchange","Yes","Materials","$3,952,713,166","14,213,392","Analyze"
"AVCNF","Avicanna Inc","Canada","","CT:AVCN","Toronto Stock Exchange","No","Unknown","$29,323,453","105","Analyze"
"AVLNF","Avalon Advanced Materials Inc.","Canada","","CT:AVL","Toronto Stock Exchange","No","Materials","$31,674,894","36,700","Analyze"
"AVTBF","Avant Brands Inc","Canada","","CT:AVNT","Toronto Stock Exchange","No","Communication Services","$85,096,519","1,607,275","Analyze"
"AWCMF","Alumina Limited","Australia","","AT:AWC","Asx - All Markets","No","Materials","$4,526,623,011","0","Analyze"
"AXAHF","AXA SA","France","","FP:CS","Euronext Paris","No","Financials","$66,340,410,219","3,411","Analyze"
"AXDDF","Azucar Minerals Ltd.","Canada","","CV:AMZ","TSX Venture Exchange","No","Materials","$4,894,864","76,549","Analyze"
"AXNVF","Axion Ventures Inc","Canada","","CV:AXV","TSX Venture Exchange","No","Unknown","$5,117,870","1,550","Analyze"
"AXU","Alexco Resource Corp","Canada","","CT:AXU","Toronto Stock Exchange","Yes","Materials","$250,507,816","753,471","Analyze"
"AYRWF","Ayr Strategies Inc.","Canada","","CF:AYR","Canadian Securities Exchange","No","Consumer Discretionary","$1,146,279,988","0","Analyze"
"BABYF","Else Nutrition Holdings Inc","Canada","","CV:BABY","TSX Venture Exchange","No","Consumer Staples","$188,417,563","121,649","Analyze"
"BAM","Brookfield Asset Management Inc.","Canada","Canada","CT:BAM-A","Toronto Stock Exchange","Yes","Financials","$90,420,261,872","1,721,487","Analyze"
"BAP","Credicorp Ltd","Peru","Bermuda","PE:BAP","Bolsa De Valores De Lima","Yes","Financials","$9,968,660,322","348,919","Analyze"
"BAYZF","Beyer AG","Germany","Germany","GF:BAYN","Frankfurt Stock Exchange","Yes","Health Care","$53,050,900,428","853","Analyze"
"BB","Blackberry Limited","Canada","Canada","CT:BB","Toronto Stock Exchange","No","Information Technology","$5,760,668,976","10,377,460","Analyze"
"BBKCF","BIGG Digital Assets Inc.","Canada","","CF:BIGG","Canadian Securities Exchange","No","Financials","$152,089,805","17,316,515","Analyze"
"BBRYF","Burberry Group Plc","United Kingdom","","LN:BRBY","London Stock Exchange","No","Consumer Discretionary","$9,964,094,930","61,643","Analyze"
"BBSRF","Bluestone Resources Inc.","Canada","","CV:BSR","TSX Venture Exchange","No","Unknown","$169,679,086","35,545","Analyze"
"BCE","BCE, Inc.","Canada","Canada","CT:BCE","Toronto Stock Exchange","Yes","Communication Services","$46,420,146,959","1,246,871","Analyze"
"BCEKF","Bear Creek Mining Corporation","Canada","","CV:BCM","TSX Venture Exchange","No","Materials","$125,515,863","17,975","Analyze"
"BDRAF","Bombardier Inc. Class A","Canada","","CT:BBD-A","Toronto Stock Exchange","No","Unknown","$512,501,642","33,252","Analyze"
"BDRBF","Bombardier Inc. Class B","Canada","","CT:BBD-B","Toronto Stock Exchange","No","Industrials","$3,162,374,713","450,659","Analyze"
