"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd ADRs","Taiwan","TT:2330","Taiwan Stock Exchange","Information Technology","$626,426,131,153","0.00","0.00","0.00","1.51%","8,182,319","Analyze"
"BABA","Alibaba Group Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$424,742,689,292","0.00","0.00","0.00","0.00%","25,513,782","Analyze"
"ASML","ASML Holding NV ADRs","The Netherlands","NA:ASML","Nyse Euronext - Euronext Amsterdam","Information Technology","$366,751,125,354","0.00","0.00","0.00","0.37%","754,876","Analyze"
"TM","Toyota Motor Corp ADRs","Japan","JT:7203","Tokyo Stock Exchange","Consumer Discretionary","$296,834,881,847","0.00","0.00","0.00","2.44%","209,321","Analyze"
"NVS","Novartis AG ADRs","Switzerland","VX:NOVN","Six Swiss - Blue Chips Segment","Health Care","$205,416,437,230","0.00","0.00","0.00","3.79%","1,984,332","Analyze"
"NVO","Novo Nordisk A/S ADRs","Denmark","DC:NOVO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$181,475,102,320","0.00","0.00","0.00","1.43%","1,074,444","Analyze"
"SAP","SAP SE ADRs","Germany","GF:SAP","Frankfurt Stock Exchange","Information Technology","$177,960,783,496","0.00","0.00","0.00","1.56%","481,884","Analyze"
"AZN","AstraZeneca PLC ADRs","United Kingdom","LN:AZN","London Stock Exchange","Health Care","$175,359,945,803","0.00","0.00","0.00","2.46%","5,459,933","Analyze"
"RDS.A","Royal Dutch Shell  ADRs of Class A Shares","United Kingdom","NA:RDSA","Nyse Euronext - Euronext Amsterdam","Energy","$158,690,298,270","0.00","0.00","0.00","3.60%","4,425,504","Analyze"
"RDS.B","Royal Dutch Shell ADRs of class B Shares","United Kingdom","LN:RDSB","London Stock Exchange","Energy","$158,690,298,270","0.00","0.00","0.00","3.64%","3,199,763","Analyze"
"SE","Sea Limited ADRs","Singapore","PRIVATE","","Communication Services","$149,714,506,000","0.00","0.00","0.00","0.00%","4,265,670","Analyze"
"SONY","Sony Group Corporation ADRs","Japan","JT:6758","Tokyo Stock Exchange","Consumer Discretionary","$141,604,290,518","0.00","0.00","0.00","0.46%","498,767","Analyze"
