"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"TEAM","Atlassian Plc Class A","United Kingdom","United Kingdom","Information Technology","Yes","Yes","$101,002,290,380","940,941","Analyze"
"NXPI","NXP Semiconductors Nv","The Netherlands","The Netherlands","Information Technology","No","Yes","$56,481,683,486","2,170,074","Analyze"
"SCCO","Southern Copper Corp","Peru","USA","Materials","No","Yes","$45,720,026,249","800,419","Analyze"
"CPNG","Coupang, Inc. Class A","South Korea","","Consumer Discretionary","No","No","$45,301,334,463","11,654,130","Analyze"
"SPOT","Spotify Technology SA","Luxembourg","Luxembourg","Communication Services","Yes","Yes","$43,805,620,000","1,207,188","Analyze"
"APTV","Aptiv Plc","Ireland","Jersey","Consumer Discretionary","No","Yes","$40,354,319,889","1,419,865","Analyze"
"STLA","Stellantis N.V.","The Netherlands","The Netherlands","Consumer Discretionary","Yes","No","$32,220,459,341","2,345,432","Analyze"
"FERG","Ferguson plc","United Kingdom","Jersey","Industrials","Yes","No","$32,159,272,960","16,789","Analyze"
"CCEP","Coca-Cola European Partners Plc","The Netherlands","United Kingdom","Consumer Staples","No","No","$27,115,449,818","1,124,809","Analyze"
"YUMC","Yum China Holdings Inc","China","USA","Consumer Discretionary","No","Yes","$23,434,849,851","2,544,749","Analyze"
"ICLR","Icon Plc","Ireland","Ireland","Health Care","Yes","No","$21,548,196,600","431,287","Analyze"
"AMCR","Amcor plc","United Kingdom","Jersey","Materials","No","Yes","$18,659,819,077","6,392,045","Analyze"
"XP","XP Inc. - Class A","Brazil","","Financials","Yes","No","$17,437,631,708","1,320,361","Analyze"
"CHKP","Check Point Software Technologies Ltd.","Israel","Israel","Information Technology","Yes","No","$16,103,008,101","816,463","Analyze"
"FTCH","Farfetch Limited Class A","United Kingdom","Cayman Islands","Consumer Discretionary","Yes","No","$12,510,125,932","3,853,402","Analyze"
"QGEN","Qiagen Nv","The Netherlands","The Netherlands","Health Care","Yes","Yes","$12,345,405,836","633,213","Analyze"
"WIX","Wix.Com Ltd","Israel","Israel","Information Technology","Yes","Yes","$11,732,212,525","615,808","Analyze"
"PLTK","Playtika Holding Corp.","Israel","USA","Communication Services","No","Yes","$11,678,671,555","1,296,135","Analyze"
"PAGS","Pagseguro Digital Ltd Class A","Brazil","Cayman Islands","Information Technology","Yes","No","$11,225,435,393","1,086,101","Analyze"
"STNE","Stoneco Ltd. - Class A","Brazil","Cayman Islands","Information Technology","Yes","Yes","$10,799,174,282","4,549,687","Analyze"
"GLBE","Global-E Online Ltd.","Israel","","Consumer Discretionary","Yes","No","$10,302,649,504","1,636,084","Analyze"
"CVAC","CureVac N.V.","Germany","The Netherlands","Health Care","Yes","Yes","$10,300,801,883","565,054","Analyze"
"DOX","Amdocs Ltd","Guernsey","United Kingdom","Information Technology","Yes","Yes","$10,209,549,872","467,832","Analyze"
"DLO","dLocal Ltd","Uruguay","","Information Technology","Yes","No","$9,285,020,794","1,706,060","Analyze"
"CRSP","CRISPR Therapeutics AG","Switzerland","Switzerland","Health Care","No","No","$8,947,543,143","906,152","Analyze"
"STVN","Stevanato Group S.p.A.","Italy","","Health Care","Yes","No","$7,960,329,216","416,193","Analyze"
"AER","AerCap Holdings NV","The Netherlands","The Netherlands","Industrials","Yes","No","$7,224,079,005","696,329","Analyze"
"FVRR","Fiverr International Ltd.","Israel","Israel","Consumer Discretionary","Yes","No","$6,979,345,066","624,185","Analyze"
"KRNT","Kornit Digital Ltd","Israel","Israel","Industrials","Yes","No","$6,772,743,037","192,006","Analyze"
"CYBR","CyberArk Software Ltd.","Israel","Israel","Information Technology","Yes","No","$6,422,631,764","317,967","Analyze"
"AMBP","Ardagh Metal Packaging S.A.","Luxembourg","","Consumer Discretionary","Yes","No","$6,243,980,054","1,094,895","Analyze"
"ABCL","AbCellera Biologics Inc.","Canada","","Health Care","No","No","$5,518,336,903","2,958,954","Analyze"
"INMD","InMode Ltd.","Israel","Israel","Health Care","Yes","No","$5,370,779,376","824,719","Analyze"
"NOMD","Nomad Foods Limited","United Kingdom","","Consumer Staples","Yes","No","$4,623,057,084","622,814","Analyze"
"MIME","Mimecast Limited","United Kingdom","United Kingdom","Information Technology","No","Yes","$4,566,218,298","1,684,021","Analyze"
"VTEX","VTEX","United Kingdom","","Information Technology","Yes","No","$4,373,611,008","230,108","Analyze"
"RSKD","Riskified Ltd.","Israel","","Information Technology","Yes","No","$4,266,935,808","1,027,253","Analyze"
"CWK","Cushman & Wakefield Plc","United Kingdom","United Kingdom","Real Estate","No","Yes","$4,054,190,308","1,253,635","Analyze"
"ATCO","Atlas Corp.","Canada","Marshall Islands","Industrials","Yes","No","$4,027,939,216","860,596","Analyze"
"AY","Atlantica Yield Plc","United Kingdom","United Kingdom","Utilities","Yes","No","$3,961,755,815","431,774","Analyze"
"TIGO","Millicom International Cellular S.A.","Luxembourg","","Communication Services","Yes","No","$3,719,585,774","22,411","Analyze"
"GENI","Genius Sports Limited","United Kingdom","","Communication Services","Yes","No","$3,570,247,140","1,599,364","Analyze"
"API","Agora, Inc. ADRs","China","USA","Information Technology","Yes","No","$3,017,771,037","742,344","Analyze"
"CSTM","Constellium NV Class A","The Netherlands","France","Materials","Yes","Yes","$2,865,035,896","887,049","Analyze"
"RNW","ReNew Energy Global plc Class A","United Kingdom","Canada","Utilities","Yes","No","$2,693,244,694","352,843","Analyze"
"WKME","WalkMe Ltd.","Israel","","Information Technology","Yes","No","$2,682,887,101","180,673","Analyze"
"IFS","Intercorp Financial Services Inc.","Peru","Panama","Financials","Yes","No","$2,562,939,051","39,800","Analyze"
"TARO","Taro Pharmaceutical Industries Ltd","Israel","Israel","Health Care","Yes","No","$2,501,601,862","18,872","Analyze"
"SBLK","Star Bulk Carriers Corp.","Greece","Marshall Islands","Industrials","Yes","No","$2,499,761,056","2,280,073","Analyze"
"ATAI","ATAI Life Sciences N.V.","Germany","","Health Care","No","No","$2,357,905,188","274,704","Analyze"
"KEN","Kenon Holdings Ltd.","Singapore","Singapore","Utilities","Yes","No","$2,251,069,508","14,198","Analyze"
"CSIQ","Canadian Solar Inc.","China","Canada","Energy","Yes","No","$2,192,313,875","887,222","Analyze"
"CLBT","Cellebrite DI Ltd.","Israel","","Information Technology","Yes","No","$2,138,505,790","555,365","Analyze"
"ATTO","Atento S.A.","Luxembourg","Luxembourg","Industrials","Yes","No","$2,134,000,413","21,535","Analyze"
"ADCT","ADC Therapeutics SA","Switzerland","Switzerland","Health Care","Yes","No","$2,129,790,034","265,166","Analyze"
"INT","World Fuel Services Corp","China","USA","Energy","No","Yes","$2,086,049,044","442,564","Analyze"
"MYOV","Myovant Sciences Ltd.","United Kingdom","Bermuda","Health Care","No","No","$2,042,286,935","678,024","Analyze"
"ARQQ","Arqit Quantum Inc.","United Kingdom","","Information Technology","Yes","No","$1,975,818,069","1,744,333","Analyze"
"PTVE","Pactiv Evergreen Inc.","New Zealand","USA","Materials","No","Yes","$1,911,531,691","144,871","Analyze"
"CAMT","Camtek Ltd.","Israel","Israel","Information Technology","Yes","No","$1,872,558,444","165,858","Analyze"
"GDEV","Nexters Inc.","Cyprus","","Communication Services","Yes","No","$1,863,038,997","318,557","Analyze"
"TBLA","Taboola.com Ltd.","Israel","","Communication Services","Yes","No","$1,845,299,348","740,504","Analyze"
"CGNT","Cognyte Software Ltd.","Israel","Israel","Information Technology","Yes","No","$1,838,364,713","564,338","Analyze"
"NTB","Bank Of Nt Butterfield & Son Ltd","Bermuda","Bermuda","Financials","Yes","Yes","$1,777,030,898","92,172","Analyze"
"DAC","Danaos Corporation","Greece","","Industrials","Yes","No","$1,712,603,853","317,285","Analyze"
"QURE","Uniqure Nv","The Netherlands","The Netherlands","Health Care","No","No","$1,695,500,126","1,078,126","Analyze"
"SMWB","Similarweb Ltd.","Israel","","Communication Services","Yes","No","$1,689,838,720","81,336","Analyze"
"RDWR","Radware Ltd.","Israel","Israel","Information Technology","Yes","No","$1,677,349,906","449,647","Analyze"
"ZYME","Zymeworks Inc.","Canada","Canada","Health Care","No","No","$1,674,524,817","506,378","Analyze"
"NE","Noble Corporation plc","United Kingdom","","Energy","No","No","$1,667,618,707","530,942","Analyze"
"TGH","Textainer Group Holdings Ltd","Bermuda","Bermuda","Industrials","Yes","Yes","$1,649,325,159","355,561","Analyze"
"MMYT","MakeMyTrip Limited","India","Mauritius","Consumer Discretionary","Yes","No","$1,586,286,529","339,715","Analyze"
"FRO","Frontline Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$1,567,700,106","1,670,014","Analyze"
"SPNS","Sapiens International Corporation N.V.","The Netherlands","Cayman Islands","Information Technology","Yes","Yes","$1,544,220,574","74,659","Analyze"
"GSM","Ferroglobe Plc","United Kingdom","United Kingdom","Materials","Yes","No","$1,543,742,558","5,914,425","Analyze"
"NFH","New Frontier Health Corporation","China","","Health Care","Yes","No","$1,472,511,746","168,838","Analyze"
"MMAT","Meta Materials Inc.","Canada","USA","Information Technology","No","Yes","$1,429,690,384","26,193,764","Analyze"
"LICY","Li-Cycle Holdings Corp.","Canada","","Industrials","Yes","No","$1,421,293,907","827,199","Analyze"
"DOLE","Dole plc","Ireland","Ireland","Consumer Staples","Yes","No","$1,385,307,136","601,329","Analyze"
"BWMX","Betterware de Mexico, S.A. de C.V.","Mexico","","Consumer Discretionary","Yes","No","$1,351,814,568","45,761","Analyze"
"HUT","Hut 8 Mining Corp.","Canada","","Financials","Yes","No","$1,307,956,077","11,366,016","Analyze"
"IS","ironSource Ltd. Class A","Israel","","Information Technology","Yes","No","$1,272,832,000","1,834,092","Analyze"
"REE","REE Automotive Ltd. - Class A","Israel","Spain","Utilities","Yes","No","$1,266,893,538","2,386,529","Analyze"
"WFRD","Weatherford International plc","Ireland","","Energy","No","No","$1,264,969,166","443,962","Analyze"
"HOLI","Hollysys Automation Technologies","China","British Virgin Islands","Industrials","Yes","No","$1,260,382,401","306,076","Analyze"
"PLYA","Playa Hotels & Resorts N.V.","The Netherlands","The Netherlands","Consumer Discretionary","No","No","$1,221,784,457","673,772","Analyze"
