"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd ADRs","Taiwan","TT:2330","Taiwan Stock Exchange","Information Technology","$606,563,459,720","29.26","11.19","0.29","1.55%","7,379,177","Analyze"
"BABA","Alibaba Group Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$481,117,726,896","21.19","3.99","0.51","0.00%","24,871,243","Analyze"
"ASML","ASML Holding NV ADRs","The Netherlands","NA:ASML","Nyse Euronext - Euronext Amsterdam","Information Technology","$331,060,149,624","57.99","17.14","26.24","0.41%","1,201,746","Analyze"
"TM","Toyota Motor Corp ADRs","Japan","JT:7203","Tokyo Stock Exchange","Consumer Discretionary","$291,499,880,948","9.63","1.09","0.01","1.37%","230,014","Analyze"
"NVS","Novartis AG ADRs","Switzerland","VX:NOVN","Six Swiss - Blue Chips Segment","Health Care","$202,422,099,498","22.89","3.93","3.80","3.85%","2,100,248","Analyze"
"RDS.A","Royal Dutch Shell  ADRs of Class A Shares","United Kingdom","NA:RDSA","Nyse Euronext - Euronext Amsterdam","Energy","$192,784,566,450","18.22","0.94","0.59","2.99%","6,321,308","Analyze"
"RDS.B","Royal Dutch Shell ADRs of class B Shares","United Kingdom","LN:RDSB","London Stock Exchange","Energy","$192,784,566,450","16.53","0.94","0.54","2.97%","3,470,745","Analyze"
"AZN","AstraZeneca PLC ADRs","United Kingdom","LN:AZN","London Stock Exchange","Health Care","$186,420,634,964","49.81","6.31","11.97","2.31%","5,224,309","Analyze"
"NVO","Novo Nordisk A/S ADRs","Denmark","DC:NOVO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$185,498,822,600","35.03","0.00","2.83","1.40%","859,828","Analyze"
"SAP","SAP SE ADRs","Germany","GF:SAP","Frankfurt Stock Exchange","Information Technology","$177,420,242,665","25.52","5.63","5.17","1.56%","556,845","Analyze"
"SE","Sea Limited ADRs","Singapore","PRIVATE","","Communication Services","$160,227,834,000","-80.13","24.18","40.08","0.00%","2,637,349","Analyze"
