Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$25.68,-0.63,-2.395%,52786806.00,United States,,12697,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.3822,0.0042,1.111%,52446022.00,Canada,2015,416178,,
ACU,Acme United Corporation. Common Stock,$37.0736,-0.6964,-1.844%,131192645.00,United States,1988,3662,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$42.60,2.85,7.17%,187568950.00,United States,,67468,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.81,0.00,0.00%,141018750.00,United States,2021,6115,,
AE,Adams Resources & Energy Inc. Common Stock,$30.74,-0.14,-0.453%,130871800.00,United States,,4491,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.43,-0.09,-1.056%,427837489.00,United States,,53856,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.9048,-0.0102,-1.115%,34325517.00,,2018,28543,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$1.93,-0.01,-0.515%,76601723.00,United States,,196519,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$19.65,0.045,0.23%,59397155.00,United States,2014,1766,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.02,-0.04,-3.774%,32719081.00,United States,,285032,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.5001,0.0201,1.358%,34994850.00,China,,474820,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.68,-0.03,-1.754%,336769368.00,United States,,710990,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.91,-0.0102,-0.349%,17075880.00,United States,,59698,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$29.39,-0.22,-0.743%,238075752.00,United States,2020,93078,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$6.25,0.06,0.969%,82607819.00,Canada,,208424,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.10,-0.26,-7.738%,77307261.00,United States,,6947,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.918,-0.032,-3.368%,93087689.00,Canada,,398505,,
ASXC,Asensus Surgical Inc. Common Stock,$1.82,-0.03,-1.622%,426469649.00,United States,,1620310,Health Care,Medical/Dental Instruments
