"Symbol","Name","U.S. Exchange","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"SHOP","Shopify Inc. Class A","New York Stock Exchange","CT:SHOP","Toronto Stock Exchange","Information Technology","Software—Application","$179,048,013,140","787,886","Analyze"
"RY","Royal Bank Of Canada","New York Stock Exchange","CT:RY","Toronto Stock Exchange","Financials","Banks—Diversified","$151,562,044,800","975,497","Analyze"
"TD","The Toronto-Dominion Bank","New York Stock Exchange","CT:TD","Toronto Stock Exchange","Financials","Banks—Diversified","$130,665,740,648","1,366,526","Analyze"
"BAM","Brookfield Asset Management Inc.","New York Stock Exchange","CT:BAM-A","Toronto Stock Exchange","Financials","Asset Management","$96,207,283,210","1,593,384","Analyze"
"CNI","Canadian National Railway Company","New York Stock Exchange","CT:CNR","Toronto Stock Exchange","Industrials","Railroads","$88,093,363,482","1,367,354","Analyze"
"ENB","Enbridge Inc","New York Stock Exchange","CT:ENB","Toronto Stock Exchange","Energy","Oil & Gas Midstream","$86,886,855,839","4,053,145","Analyze"
"BNS","The Bank Of Nova Scotia","New York Stock Exchange","CT:BNS","Toronto Stock Exchange","Financials","Banks—Diversified","$79,494,554,509","1,250,224","Analyze"
"BMO","Bank Of Montreal","New York Stock Exchange","CT:BMO","Toronto Stock Exchange","Financials","Banks—Diversified","$69,788,409,432","503,572","Analyze"
"TRI","Thomson Reuters Corporation","New York Stock Exchange","CT:TRI","Toronto Stock Exchange","Industrials","Consulting Services","$58,090,227,643","444,675","Analyze"
"CM","Canadian Imperial Bank Of Commerce","New York Stock Exchange","CT:CM","Toronto Stock Exchange","Financials","Banks—Diversified","$53,827,220,907","491,423","Analyze"
"TRP","TransCanada Corporation","New York Stock Exchange","CT:TRP","Toronto Stock Exchange","Energy","Oil & Gas Midstream","$53,307,593,996","1,522,638","Analyze"
"CNQ","Canadian Natural Resources Limited","New York Stock Exchange","CT:CNQ","Toronto Stock Exchange","Energy","Oil & Gas E&P","$50,311,264,970","3,032,003","Analyze"
"CP","Canadian Pacific Railway Limited","New York Stock Exchange","CT:CP","Toronto Stock Exchange","Industrials","Railroads","$49,002,772,331","4,747,268","Analyze"
"BCE","BCE, Inc.","New York Stock Exchange","CT:BCE","Toronto Stock Exchange","Communication Services","Telecom Services","$46,544,818,438","885,522","Analyze"
"NTR","Nutrien Ltd.","New York Stock Exchange","CT:NTR","Toronto Stock Exchange","Materials","Agricultural Inputs","$41,015,761,653","1,889,935","Analyze"
"MFC","Manulife Financial Corporation","New York Stock Exchange","CT:MFC","Toronto Stock Exchange","Financials","Insurance—Life","$39,313,154,447","3,877,745","Analyze"
"SU","Suncor Energy  Inc.","New York Stock Exchange","CT:SU","Toronto Stock Exchange","Energy","Oil & Gas Integrated","$34,345,184,046","6,794,070","Analyze"
"GOLD","Barrick Gold Corporation","New York Stock Exchange","CT:ABX","Toronto Stock Exchange","Materials","Gold","$34,340,954,882","17,515,777","Analyze"
"WCN","Waste Connections Inc","New York Stock Exchange","CT:WCN","Toronto Stock Exchange","Industrials","Waste Management","$33,943,998,206","628,790","Analyze"
"SLF","Sun Life Financial Inc.","New York Stock Exchange","CT:SLF","Toronto Stock Exchange","Financials","Insurance—Diversified","$32,790,136,597","606,922","Analyze"
"TU","Telus Corporation","New York Stock Exchange","CT:T","Toronto Stock Exchange","Communication Services","Telecom Services","$30,644,776,342","927,857","Analyze"
"FNV","Franco-Nevada Corporation","New York Stock Exchange","CT:FNV","Toronto Stock Exchange","Materials","Gold","$26,921,052,070","626,681","Analyze"
"NVEI","Nuvei Corporation","NASDAQ Global Select","CT:NVEI","Toronto Stock Exchange","Information Technology","Software—Infrastructure","$25,239,489,121","117,350","Analyze"
