"Symbol","Name","Category","Issuing Symbol","Country of incorporation","GICS Sector","Market cap","Average Volume","Action"
"BABA","Alibaba Group Holding Ltd ADRs","ADRs","Privately held","","Consumer Discretionary","$481,117,726,896","24,871,243","Analyze"
"JD","JD.com Inc ADRs","ADRs","Privately held","","Consumer Discretionary","$132,051,184,259","8,830,887","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Privately held","","Consumer Discretionary","$113,367,970,519","6,039,790","Analyze"
"NTES","NetEase Inc ADRs","ADRs","Privately held","Cayman Islands","Communication Services","$67,359,750,264","4,530,151","Analyze"
"NIO","NIO Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$62,403,180,750","33,735,790","Analyze"
"BIDU","Baidu Inc ADRs of Class A","ADRs","Privately held","Cayman Islands","Communication Services","$62,345,700,000","3,517,523","Analyze"
"DIDI","DiDi Global Inc. ADRs of Class A","ADRs","Privately held","","Industrials","$37,269,368,010","13,212,608","Analyze"
"BGNE","BeiGene ADRs","ADRs","HK:6160","","Health Care","$35,091,320,480","190,067","Analyze"
"XPEV","XPeng Inc. ADRs of Class A","ADRs","Privately held","USA","Consumer Discretionary","$28,082,792,169","7,328,163","Analyze"
"LI","Li Auto Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$27,933,172,582","5,328,548","Analyze"
"BILI","Bilibili Inc. ADRs","ADRs","Privately held","","Communication Services","$27,896,863,484","3,824,504","Analyze"
"YUMC","Yum China Holdings Inc","Common stocks","","USA","Consumer Discretionary","$25,699,208,547","2,520,123","Analyze"
"TCOM","Trip.com Group Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$19,939,636,567","3,609,660","Analyze"
"ZTO","ZTO Express ADRs of Class A","ADRs","Privately held","","Industrials","$19,692,782,279","1,736,243","Analyze"
"BEKE","KE Holdings Inc ADRs of Class A","ADRs","Privately held","","Real Estate","$19,609,001,124","8,202,957","Analyze"
"LU","Lufax Holding Ltd ADRs","ADRs","Privately held","","Financials","$17,925,552,154","6,374,339","Analyze"
"HTHT","Huazhu Group Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$16,000,852,400","1,101,027","Analyze"
"YMM","Full Truck Alliance Co. Ltd. ADRs of Class A","ADRs","Privately held","","Information Technology","$15,440,788,243","1,808,481","Analyze"
"TME","Tencent Music Entertainment Group  ADRs","ADRs","Privately held","","Communication Services","$14,124,855,276","12,309,967","Analyze"
"LFC","China Life Insurance Co Ltd ADRs","ADRs","HK:2628","China","Financials","$13,483,409,100","760,270","Analyze"
"SNP","China Petroleum & Chemical Corp ADRs","ADRs","HK:0386","China","Energy","$13,261,885,384","118,927","Analyze"
"BZ","Kanzhun Ltd ADRs of Class A","ADRs","Privately held","","Industrials","$12,069,799,506","591,067","Analyze"
"GDS","GDS Holdings ADRs","ADRs","Privately held","","Information Technology","$11,256,547,592","870,735","Analyze"
"PTR","PetroChina Co Ltd ADRs","ADRs","HK:0857","China","Energy","$11,117,010,410","229,241","Analyze"
"WB","Weibo Corp ADRs","ADRs","Privately held","","Communication Services","$11,081,070,000","654,382","Analyze"
"ZLAB","Zai Lab Limited ADRs","ADRs","Privately held","Cayman Islands","Health Care","$9,657,272,966","633,046","Analyze"
"LEGN","Legend Biotech Corporation ADRs","ADRs","Privately held","","Health Care","$7,904,281,302","481,938","Analyze"
"VIPS","Vipshop Holdings Ltd ADRs","ADRs","Privately held","Cayman Islands","Consumer Discretionary","$7,432,216,679","8,915,807","Analyze"
"KC","Kingsoft Cloud Holdings Limited ADRs","ADRs","Privately held","","Information Technology","$7,002,563,829","841,471","Analyze"
"IQ","iQIYI Inc. ADRs","ADRs","Privately held","","Communication Services","$7,001,279,693","7,834,844","Analyze"
"ATHM","Autohome Inc. ADRs","ADRs","Privately held","Cayman Islands","Communication Services","$6,467,949,051","789,426","Analyze"
"RLX","RLX Technology Inc. ADRs of class A","ADRs","Privately held","","Consumer Staples","$5,715,712,680","5,784,347","Analyze"
"FUTU","Futu Holdings Limited ADRs","ADRs","Privately held","","Financials","$5,642,751,433","7,522,532","Analyze"
"HCM","Hutchison China Meditech ADRs","ADRs","LN:HCM","Cayman Islands","Health Care","$5,577,220,291","142,290","Analyze"
"DADA","Dada Nexus Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$5,437,455,743","791,715","Analyze"
"ZH","Zhihu Inc. ADRs","ADRs","Privately held","","Communication Services","$5,298,498,364","2,515,235","Analyze"
"DQ","Daqo New Energy ADRs","ADRs","Privately held","Cayman Islands","Information Technology","$5,285,626,402","1,753,854","Analyze"
"IMAB","I-MAB ADRs","ADRs","Privately held","","Health Care","$5,054,136,109","517,576","Analyze"
"DDL","Dingdong (Cayman) Ltd ADRs","ADRs","Privately held","","Consumer Staples","$4,916,338,256","27,235","Analyze"
"TUYA","Tuya Inc. ADRs of class A","ADRs","Privately held","","Information Technology","$4,682,392,064","1,545,335","Analyze"
"JOBS","51job, Inc. ADRs","ADRs","Privately held","","Industrials","$4,349,699,981","268,715","Analyze"
"EDU","New Oriental Education & Technology ADRs","ADRs","Privately held","Cayman Islands","Consumer Discretionary","$4,191,506,472","39,194,622","Analyze"
"MNSO","MINISO Group Holding Limited ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$3,633,967,282","416,512","Analyze"
"YY","YY Inc. ADRs","ADRs","Privately held","Cayman Islands","Communication Services","$3,599,981,738","833,257","Analyze"
"ACH","Aluminum Corporation of China ADRs","ADRs","HK:2600","China","Materials","$2,926,422,753","160,724","Analyze"
"QFIN","360 Finance, Inc. ADRs","ADRs","Privately held","","Financials","$2,904,349,304","1,366,611","Analyze"
"API","Agora, Inc. ADRs","Common stocks","Privately held","USA","Information Technology","$2,692,589,120","744,505","Analyze"
"ZNH","China Southern Airlines ADRs","ADRs","HK:1055","China","Industrials","$2,623,228,880","10,967","Analyze"
"VNET","21Vianet Group, Inc. ADRs","ADRs","Privately held","","Information Technology","$2,573,962,533","798,297","Analyze"
"HNP","Huaneng Power International Inc ADRs","ADRs","HK:0902","China","Utilities","$2,344,316,241","45,688","Analyze"
"HUYA","HUYA Inc. ADRs of Class A","ADRs","Privately held","","Communication Services","$2,292,308,603","2,968,721","Analyze"
"CSIQ","Canadian Solar Inc.","Common stocks","","Canada","Energy","$2,240,911,966","987,528","Analyze"
"TAL","TAL Education Group ADRs","ADRs","Privately held","Cayman Islands","Consumer Discretionary","$2,153,394,500","11,987,670","Analyze"
"MOMO","MOMO Inc ADRs","ADRs","Privately held","","Communication Services","$2,145,708,093","2,503,672","Analyze"
"CEA","China Eastern Airlines ADRs","ADRs","HK:0670","China","Industrials","$2,098,665,720","5,692","Analyze"
"INT","World Fuel Services Corp","Common stocks","","USA","Energy","$2,065,728,323","361,666","Analyze"
"NIU","Niu Technologies Class A ADRs","ADRs","Privately held","","Consumer Discretionary","$1,888,618,240","423,155","Analyze"
"CD","Chindata Group Holdings Ltd ADRs","ADRs","Privately held","","Information Technology","$1,761,142,093","2,232,684","Analyze"
"NOAH","Noah Holdings ADRs","ADRs","Privately held","","Financials","$1,749,918,967","122,191","Analyze"
"JKS","JinkoSolar Holding ADRs","ADRs","Privately held","Cayman Islands","Information Technology","$1,646,242,800","1,418,993","Analyze"
"NFH","New Frontier Health Corporation","Common stocks","","","Health Care","$1,486,961,014","163,386","Analyze"
"OCFT","OneConnect Financial Technology Co., Ltd. ADRs","ADRs","Privately held","","Information Technology","$1,470,275,702","1,257,833","Analyze"
"BZUN","Baozun Inc. ADRs","ADRs","Privately held","","Consumer Discretionary","$1,450,464,025","1,004,972","Analyze"
"YSG","Yatsen Holding Ltd ADRs","ADRs","Privately held","","Consumer Discretionary","$1,301,305,219","4,033,502","Analyze"
"BNR","Burning Rock Biotech Limited ADRs","ADRs","Privately held","","Health Care","$1,275,209,631","234,427","Analyze"
"GTH","Genetron Holdings Limited ADRs","ADRs","Privately held","","Health Care","$1,235,316,908","194,709","Analyze"
"HOLI","Hollysys Automation Technologies","Common stocks","","British Virgin Islands","Industrials","$1,218,611,803","307,300","Analyze"
"DOYU","DouYu International Holdings Limited ADRs","ADRs","Privately held","","Communication Services","$1,210,048,517","2,650,628","Analyze"
"RERE","AiHuiShou International Co. Ltd. ADRs","ADRs","Privately held","","Consumer Discretionary","$1,209,470,050","339,009","Analyze"
"TIGR","UP Fintech Holding Limited ADRs of Class A","ADRs","Privately held","","Financials","$1,190,317,112","9,932,582","Analyze"
"CAN","Canaan Inc. ADRs","ADRs","Privately held","","Information Technology","$1,147,088,673","8,025,456","Analyze"
"NTP","Nam Tai Property Inc","Common stocks","","British Virgin Islands","Real Estate","$1,030,907,163","58,366","Analyze"
"FINV","FinVolution Group ADRs","ADRs","Privately held","","Financials","$991,355,797","1,056,607","Analyze"
"UXIN","Uxin Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$980,204,620","1,733,237","Analyze"
"CNTB","Connect Biopharma Holdings Ltd ADRs","ADRs","Privately held","","Health Care","$954,569,305","90,440","Analyze"
"SOHU","Sohu.com Limited ADRs","ADRs","Privately held","USA","Communication Services","$866,311,359","243,382","Analyze"
"SHI","Sinopec Shanghai Petrochemical ADRs","ADRs","HK:0338","China","Industrials","$863,964,000","39,982","Analyze"
"GRCL","Gracell Biotechnologies Inc. ADRs","ADRs","Privately held","","Health Care","$830,457,250","69,404","Analyze"
"HLG","Hailiang Education Group Inc. ADRs","ADRs","Privately held","","Consumer Staples","$809,429,200","3,203","Analyze"
"EH","EHang Holdings Limited ADRs","ADRs","Privately held","","Industrials","$794,996,730","708,242","Analyze"
"MF","Missfresh Limited ADRs","ADRs","Privately held","","Financials","$785,296,984","261,671","Analyze"
"LX","LexinFintech Holdings Ltd. ADRs","ADRs","Privately held","","Financials","$784,481,955","1,180,214","Analyze"
"WDH","Waterdrop Inc. ADRs","ADRs","Privately held","","Health Care","$718,913,511","281,569","Analyze"
"FANH","Fanhua Inc. ADRs","ADRs","Privately held","Cayman Islands","Financials","$706,620,791","61,112","Analyze"
"EM","Smart Share Global Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$654,343,194","381,610","Analyze"
