"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"AAGFF","Aftermath Silver Ltd.","Canada","","CV:AAG","TSX Venture Exchange","No","Unknown","$51,934,516","237,981","Analyze"
"AASZF","Atlantic Sapphire ASA","Norway","","NO:ASA","Oslo Bors Asa","No","Consumer Staples","$400,158,382","2,925","Analyze"
"AAU","Almaden Minerals Ltd.","Canada","","CT:AMM","Toronto Stock Exchange","Yes","Materials","$52,144,135","434,388","Analyze"
"AAUKF","Anglo American plc","United Kingdom","","LN:AAL","London Stock Exchange","No","Materials","$53,214,545,871","3,580","Analyze"
"ABEPF","Vision Lithium Inc.","Canada","","CV:VLI","TSX Venture Exchange","No","Materials","$29,125,243","1,656,805","Analyze"
"ABSSF","AirBoss of America Corp","Canada","","CT:BOS","Toronto Stock Exchange","No","Materials","$745,373,815","0","Analyze"
"ABST","Absolute Software Corporation","Canada","","CT:ABT","Toronto Stock Exchange","Yes","Information Technology","$565,632,806","116,344","Analyze"
"ACB","Aurora Cannabis Inc.","Canada","Canada","CT:ACB","Toronto Stock Exchange","Yes","Health Care","$1,475,994,410","4,948,165","Analyze"
"ACDVF","Air Canada","Canada","","CT:AC","Toronto Stock Exchange","No","Industrials","$6,682,788,197","195,346","Analyze"
"ACGBF","Agricultural Bank Of China","China","","CG:601288","Shanghai Stock Exchange","No","Financials","$10,254,471,353","6,600","Analyze"
"ACNNF","AusCann Group Holdings Ltd","Australia","","AT:AC8","Asx - All Markets","No","Unknown","$27,754,468","27,758","Analyze"
"ACST","Acasti Pharma Inc.","Canada","","CV:ACST","TSX Venture Exchange","No","Health Care","$45,061,213","568,102","Analyze"
"ADDDF","adidas AG","Germany","","GF:ADS","Frankfurt Stock Exchange","No","Consumer Discretionary","$62,395,571,187","423","Analyze"
"ADVZF","Adventus Mining Corp.","Canada","","CV:ADZN","TSX Venture Exchange","No","Materials","$103,863,975","13,860","Analyze"
"AEM","Agnico Eagle Mines Limited","Canada","Canada","CT:AEM","Toronto Stock Exchange","Yes","Materials","$13,865,408,716","1,878,889","Analyze"
"AEZS","Aeterna Zentaris Inc.","Canada","Canada","CT:AEZS","Toronto Stock Exchange","Yes","Health Care","$75,046,458","3,754,059","Analyze"
"AFTPF","Afterpay Ltd","Australia","","AT:APT","Asx - All Markets","No","Information Technology","$26,704,670,076","896","Analyze"
"AG","First Majestic Silver Corp","Canada","Canada","CT:FR","Toronto Stock Exchange","Yes","Materials","$3,203,448,352","4,023,159","Analyze"
"AGI","Alamos Gold Inc Class A","Canada","Canada","CT:AGI","Toronto Stock Exchange","Yes","Materials","$3,116,471,470","2,796,077","Analyze"
