"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"TEAM","Atlassian Plc Class A","United Kingdom","United Kingdom","Information Technology","Yes","Yes","$102,640,192,393","903,968","Analyze"
"NXPI","NXP Semiconductors Nv","The Netherlands","The Netherlands","Information Technology","No","Yes","$52,218,314,616","2,038,359","Analyze"
"SCCO","Southern Copper Corp","Peru","USA","Materials","No","Yes","$51,108,402,694","1,100,515","Analyze"
"SPOT","Spotify Technology SA","Luxembourg","Luxembourg","Communication Services","Yes","Yes","$46,265,410,000","869,964","Analyze"
"APTV","Aptiv Plc","Ireland","Jersey","Consumer Discretionary","No","Yes","$45,061,151,677","1,485,499","Analyze"
"CPNG","Coupang, Inc. Class A","South Korea","","Consumer Discretionary","No","No","$43,791,803,427","7,194,732","Analyze"
"FERG","Ferguson plc","United Kingdom","Jersey","Industrials","Yes","No","$32,450,777,088","15,311","Analyze"
"STLA","Stellantis N.V.","The Netherlands","The Netherlands","Consumer Discretionary","Yes","No","$30,468,667,377","2,509,587","Analyze"
"YUMC","Yum China Holdings Inc","China","USA","Consumer Discretionary","No","Yes","$25,699,208,547","2,520,123","Analyze"
"CCEP","Coca-Cola European Partners Plc","The Netherlands","United Kingdom","Consumer Staples","No","No","$24,370,411,995","873,980","Analyze"
"ICLR","Icon Plc","Ireland","Ireland","Health Care","Yes","No","$22,092,592,200","434,839","Analyze"
"AMCR","Amcor plc","United Kingdom","Jersey","Materials","No","Yes","$18,490,603,900","4,248,275","Analyze"
"CHKP","Check Point Software Technologies Ltd.","Israel","Israel","Information Technology","Yes","No","$16,702,362,035","751,551","Analyze"
"XP","XP Inc. - Class A","Brazil","","Financials","Yes","No","$13,471,099,365","5,911,509","Analyze"
"FTCH","Farfetch Limited Class A","United Kingdom","Cayman Islands","Consumer Discretionary","Yes","No","$13,149,715,591","3,579,695","Analyze"
"QGEN","Qiagen Nv","The Netherlands","The Netherlands","Health Care","Yes","Yes","$11,985,189,008","545,300","Analyze"
"PLTK","Playtika Holding Corp.","Israel","USA","Communication Services","No","Yes","$11,940,837,455","717,732","Analyze"
"WIX","Wix.Com Ltd","Israel","Israel","Information Technology","Yes","Yes","$10,996,568,063","646,208","Analyze"
"ONON","On Holding AG","Switzerland","","Consumer Discretionary","Yes","No","$10,491,237,376","1,113,551","Analyze"
"DOX","Amdocs Ltd","Guernsey","United Kingdom","Information Technology","Yes","Yes","$10,458,659,218","387,978","Analyze"
"STNE","Stoneco Ltd. - Class A","Brazil","Cayman Islands","Information Technology","Yes","Yes","$9,912,004,952","3,896,133","Analyze"
"GLBE","Global-E Online Ltd.","Israel","","Consumer Discretionary","Yes","No","$9,108,392,705","1,548,785","Analyze"
"DLO","dLocal Ltd","Uruguay","","Information Technology","Yes","No","$7,875,970,574","1,739,696","Analyze"
"AER","AerCap Holdings NV","The Netherlands","The Netherlands","Industrials","Yes","No","$7,849,991,988","806,762","Analyze"
"CVAC","CureVac N.V.","Germany","The Netherlands","Health Care","Yes","Yes","$7,734,479,802","806,841","Analyze"
"CRSP","CRISPR Therapeutics AG","Switzerland","Switzerland","Health Care","No","No","$7,639,930,808","1,709,737","Analyze"
"PAGS","Pagseguro Digital Ltd Class A","Brazil","Cayman Islands","Information Technology","Yes","No","$7,599,128,195","5,322,887","Analyze"
"STVN","Stevanato Group S.p.A.","Italy","","Health Care","Yes","No","$7,252,744,704","311,293","Analyze"
"CYBR","CyberArk Software Ltd.","Israel","Israel","Information Technology","Yes","No","$7,112,934,709","326,925","Analyze"
"FVRR","Fiverr International Ltd.","Israel","Israel","Consumer Discretionary","Yes","No","$7,026,299,369","525,863","Analyze"
"KRNT","Kornit Digital Ltd","Israel","Israel","Industrials","Yes","No","$6,999,926,785","288,003","Analyze"
"AMBP","Ardagh Metal Packaging S.A.","Luxembourg","","Materials","Yes","Yes","$5,882,010,196","922,293","Analyze"
"NOMD","Nomad Foods Limited","United Kingdom","","Consumer Staples","Yes","No","$4,655,771,455","557,643","Analyze"
"SRAD","Sportradar Group AG","Switzerland","","Information Technology","Yes","No","$4,596,052,417","636,934","Analyze"
"MIME","Mimecast Limited","United Kingdom","United Kingdom","Information Technology","No","Yes","$4,511,411,856","410,166","Analyze"
"ABCL","AbCellera Biologics Inc.","Canada","","Health Care","No","No","$4,450,901,027","2,125,797","Analyze"
"CWK","Cushman & Wakefield Plc","United Kingdom","United Kingdom","Real Estate","No","Yes","$4,101,072,465","964,492","Analyze"
"AY","Atlantica Yield Plc","United Kingdom","United Kingdom","Utilities","Yes","No","$3,900,953,423","426,542","Analyze"
"TIGO","Millicom International Cellular S.A.","Luxembourg","","Communication Services","Yes","No","$3,763,333,637","31,014","Analyze"
"VTEX","VTEX","United Kingdom","","Information Technology","Yes","No","$3,679,537,920","326,467","Analyze"
"ATCO","Atlas Corp.","Canada","Marshall Islands","Industrials","Yes","No","$3,631,794,088","692,742","Analyze"
"GENI","Genius Sports Limited","United Kingdom","","Communication Services","Yes","No","$3,580,036,277","1,282,356","Analyze"
"INMD","InMode Ltd.","Israel","Israel","Health Care","Yes","No","$3,237,438,439","2,230,704","Analyze"
"RSKD","Riskified Ltd.","Israel","","Information Technology","Yes","No","$3,209,265,408","656,691","Analyze"
"IFS","Intercorp Financial Services Inc.","Peru","Panama","Financials","Yes","No","$3,001,640,330","38,733","Analyze"
