"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"TCEHY","Tencent Holdings Ltd. Unsponsored ADRs","Pink","China","HK:0700","Hong Kong Exchange","Communication Services","$629,226,518,968","2.05%","17,735,152","Analyze"
"LVMUY","LVMH Moet Hennessy Louis Vuitton SE Unsponsored ADRs","Pink","France","FP:MC","Euronext Paris","Consumer Discretionary","$378,618,479,984","4.67%","159,749","Analyze"
"LVMHF","LVMH Moët Hennessy Louis Vuitton Sponsored ADRs","Pink","France","FP:MC","Euronext Paris","Consumer Discretionary","$376,574,212,761","0.94%","1,062","Analyze"
"NSRGY","Nestle S.A. Sponsored ADRs","Pink","Switzerland","VX:NESN","Six Swiss - Blue Chips Segment","Consumer Staples","$344,950,100,000","2.24%","260,603","Analyze"
"RHHBY","Roche Holding Ltd Sponsored ADRs","OTCQX","Switzerland","VX:ROG","Six Swiss - Blue Chips Segment","Health Care","$272,875,352,680","18.74%","561,527","Analyze"
"LRLCY","L Oreal SA Unsp/Adrs","Pink","France","FP:OR","Euronext Paris","Consumer Staples","$234,305,784,922","0.00%","88,965","Analyze"
"MPNGY","Meituan Unsp/Adrs","Pink","China","HK:3690","Hong Kong Exchange","Consumer Discretionary","$205,911,246,498","0.00%","30,093","Analyze"
"PROSY","Prosus Nv Sponsored ADRs","Pink","The Netherlands","NA:PRX","Nyse Euronext - Euronext Amsterdam","Consumer Discretionary","$186,109,513,549","0.91%","692,296","Analyze"
"CICHY","China Construction Bank Corporation Unsponsored ADRs Class H","Pink","China","CG:601939","Shanghai Stock Exchange","Financials","$169,373,987,850","2.31%","41,257","Analyze"
"HESAY","Hermes Intl Sa Unsp/Adrs","Pink","France","FP:RMS","Euronext Paris","Consumer Discretionary","$156,427,476,231","2.06%","0","Analyze"
"AAGIY","AIA Group Limited Sponsored ADRs","Pink","Hong Kong","HK:1299","Hong Kong Exchange","Financials","$140,714,130,833","0.38%","160,578","Analyze"
