"Symbol","Name","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"CNSWF","Constellation Software Inc","CT:CSU","Toronto Stock Exchange","Information Technology","Software-Application","$37,737,876,624","0","Analyze"
"FQVLF","First Quantum Minerals","CT:FM","Toronto Stock Exchange","Materials","Copper","$16,942,561,494","0","Analyze"
"TRMLF","Tourmaline Oil Corp","CT:TOU","Toronto Stock Exchange","Energy","Oil & Gas E&P","$11,476,099,001","0","Analyze"
"FRFHF","Fairfax Financial Holdings","CT:FFH","Toronto Stock Exchange","Financials","Insurance-Property & Casualty","$11,357,129,645","0","Analyze"
"IVPAF","Ivanhoe Mines Ltd. Class A","CT:IVN","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$9,826,922,079","40,331","Analyze"
"ACDVF","Air Canada","CT:AC","Toronto Stock Exchange","Industrials","Airlines","$6,682,788,197","195,346","Analyze"
"CURLF","Curaleaf Holdings Inc.","CF:CURA","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$6,567,095,861","305,473","Analyze"
"EDVMF","Endeavour Mining Corporation","CT:EDV","Toronto Stock Exchange","Materials","Gold","$6,379,287,971","39,608","Analyze"
"GTBIF","Green Thumb Industries Inc.","CF:GTII","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$4,693,166,788","221,054","Analyze"
"BDRBF","Bombardier Inc. Class B","CT:BBD-B","Toronto Stock Exchange","Industrials","Aerospace & Defense","$3,496,416,144","450,659","Analyze"
"VRNOF","Verano Hldgs Corp","CF:VRNO","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers-Specialty & Generic","$2,243,482,905","1,100,180","Analyze"
"WPTIF","WPT Industrial Real Estate Investment Trust","WIR-U","","Real Estate","REIT—Industrial","$1,833,996,410","3,232","Analyze"
"CTSDF","Converge Technology Solutions Corp.","CT:CTS","Toronto Stock Exchange","Information Technology","Information Technology Services","$1,830,980,955","26,981","Analyze"
"CRLBF","Cresco Labs Inc.","CF:CL","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$1,828,059,789","374,824","Analyze"
"BRPHF","Galaxy Digital Holdings Ltd","CT:GLXY","Toronto Stock Exchange","Communication Services","Capital Markets","$1,708,995,365","580,896","Analyze"
