Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
A,Agilent Technologies Inc,Common stocks,Large cap,USA,Health Care,Diagnostics & Research,"$47,706,065,250 ",0.49%,9.61,47.99,7.77,16.12,20.02,0.96,Analyze
AA,Alcoa Corp,Common stocks,Mid cap,USA,Materials,Aluminum,"$9,812,341,852 ",0.69%,2.41,11.43,0.88,7.29,14.96,1.81,Analyze
AAC,Ares Acquisition Corporation Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$976,000,000 ",0.00%,245.75,0,0,0,0.7,0,Analyze
AAC+,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$976,000,000 ",0.00%,0,0,0,0,0,0,Analyze
AAC=,Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War),Units,Small cap,USA,Financials,Shell Companies,"$872,175,000 ",0.00%,0,0,0,0,0,0,Analyze
AACG,ATA Creativity Global ADRs,ADRs,Micro cap,China,Consumer Discretionary,Education & Training Services,"$77,350,899 ",0.00%,0.35,0,2.79,-5.88,-4.73,6.5,Analyze
AACIU,Armada Acquisition Corp I - Units (1 Ord & 1/2 War),Units,Micro cap,usa,Financials,Shell Companies,"$149,250,000 ",0.00%,"1,980.00",0,0,0,0,0,Analyze
AADI,"Aadi Biosciences, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$579,541,600 ",0.00%,15.91,-118.78,0,0,-52.6,4.4,Analyze
AAIC,Arlington Asset Investment Corp Class A,Mortgage REITs,Micro cap,China,Financials,REIT—Mortgage,"$127,061,097 ",9.15%,0.66,583.83,8.3,20.38,1.36,0.9,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,USA,Industrials,Airlines,"$12,638,376,861 ",0.00%,54.49,-3.78,0,-13.23,43.57,1.16,Analyze
AAMC,Altisource Asset Management Corp,Common stocks,Micro cap,USA,Real Estate,Asset Management,"$54,081,810 ",0.00%,-0.2,1.03,0,0,-75.7,0,Analyze
AAME,Atlantic American Corp,Common stocks,Micro cap,China,Financials,Insurance—Life,"$86,745,743 ",0.47%,0.6,5.38,0.42,7.86,11.42,0,Analyze
AAN,Aarons Inc,Common stocks,Small cap,USA,Consumer Discretionary,Rental & Leasing Services,"$954,365,624 ",1.02%,1.33,5.31,0.39,7.47,24.75,0,Analyze
AAOI,Applied Optoelectronics Inc,Common stocks,Micro cap,USA,Information Technology,Semiconductors,"$201,117,537 ",0.00%,0.73,-4.35,0.86,-20.14,-16.91,1.22,Analyze
AAON,"AAON, Inc.",Common stocks,Mid cap,USA,Industrials,Building Products & Equipment,"$3,696,559,326 ",0.54%,9.6,48.22,7.23,14.94,19.9,0.87,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,USA,Consumer Discretionary,Specialty Retail,"$14,279,747,955 ",1.10%,4.46,23.59,1.31,5.73,18.9,0.74,Analyze
AAPL,Apple Inc,Common stocks,Large cap,USA,Information Technology,Consumer Electronics,"$2,467,292,577,160 ",0.57%,38.51,28.47,7.11,25,135.04,1.35,Analyze
AAQC,Accelerate Acquisition Corp. Class A,Common stocks,Small cap,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,97.4,0,0,0,-1.44,0,Analyze
AAQC+,"Accelerate Acquisition Corp. Warrants, each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50",Warrants,Shell Companies,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,0,0,0,0,0,0,Analyze
AAQC=,Accelerate Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),Units,Small cap,USA,Financials,Shell Companies,"$390,800,000 ",0.00%,0,0,0,0,0,0,Analyze
AAT,"American Assets Trust, Inc",REITs,Mid cap,USA,Real Estate,REIT—Diversified,"$2,383,808,802 ",2.79%,1.89,130.46,6.98,6.19,1.72,1.21,Analyze
AATC,Autoscope Technologies Corporation,Common stocks,Micro cap,USA,Information Technology,Scientific & Technical Instruments,"$37,570,302 ",1.71%,1.82,12.92,2.81,21.7,14.07,0,Analyze
AAU,Almaden Minerals Ltd.,Common stocks,Micro cap,Canada,Materials,Gold,"$51,869,692 ",0.00%,0.64,0,0,0,-3.86,1.37,Analyze
AAWW,Atlas Air Worldwide Holdings Inc,Common stocks,Mid cap,USA,Industrials,Airports & Air Services,"$2,272,068,076 ",0.00%,0.93,5.12,0.63,12.66,18.22,0.85,Analyze
AB,AllianceBernstein Holding LP,MLPs,Mid cap,USA,Financials,Asset Management,"$5,311,824,655 ",6.18%,3.34,16.14,14.69,91.87,20.71,1.09,Analyze
ABB,ABB Ltd ADRs,ADRs,Large cap,Switzerland,Industrials,Electrical Equipment & Parts,"$71,942,315,171 ",2.43%,4.73,11.83,2.56,20.29,39.99,0.95,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,USA,Health Care,Drug Manufacturers—General,"$191,579,499,424 ",4.71%,15.29,28.85,3.57,12.4,52.91,0.66,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,USA,Health Care,Medical Distribution,"$25,401,974,931 ",1.43%,670.55,-6.81,0.12,-1.83,-916.62,0.69,Analyze
ABCB,Ameris Bancorp,Common stocks,Mid cap,USA,Financials,Banks-Regional,"$3,719,944,181 ",1.12%,1.31,8.83,3.3,37.56,14.94,1.24,Analyze
ABCL,AbCellera Biologics Inc.,Common stocks,Mid cap,Canada,Health Care,Biotechnology,"$4,470,410,299 ",0.00%,4.67,19.72,9.99,51.2,23.69,0,Analyze
ABCM,Abcam plc ADRs,ADRs,Mid cap,United Kingdom,Health Care,Biotechnology,"$5,093,510,581 ",0.00%,8.16,229.7,14.17,4.81,1.97,0,Analyze
ABEO,Abeona Therapeutics Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$91,084,067 ",0.00%,1.09,-2.34,7.01,-417.49,-64.55,0.63,Analyze
ABEV,Ambev SA ADRs,ADRs,Large cap,Brazil,Consumer Staples,Beverages—Brewers,"$42,974,172,682 ",0.52%,0.52,16.35,3.62,21.91,18.19,1.06,Analyze
ABG,Asbury Automotive Group Inc.,Common stocks,Mid cap,USA,Consumer Discretionary,Auto & Truck Dealerships,"$4,163,617,581 ",0.00%,3.87,10.32,0.47,4.86,37.46,1.24,Analyze
ABGI,ABG Acquisition Corp. I - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$150,993,110 ",0.00%,37.45,0,0,0,-0.26,0,Analyze
ABIO,Arca Biopharma Inc,Common stocks,Micro cap,USA,Health Care,Biotechnology,"$39,771,995 ",0.00%,0.5,0,0,0,-26.22,0.73,Analyze
ABM,ABM Industries Inc,Common stocks,Mid cap,USA,Industrials,Specialty Business Services,"$3,026,523,531 ",1.68%,1.92,20.9,0.5,2.41,9.18,1.11,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,USA,Health Care,Medical Devices,"$15,720,620,316 ",0.00%,12.14,65.2,16.81,16.51,11.81,0.86,Analyze
ABNB,"Airbnb, Inc.",Common stocks,Large cap,USA,Consumer Discretionary,Internet Content & Information,"$102,271,572,480 ",0.00%,31.1,-11.69,23.12,-110.97,-144.67,0,Analyze
ABOS,"Acumen Pharmaceuticals, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$573,028,112 ",0.00%,-5.55,-144.42,0,"-24,518.57",87.14,0,Analyze
ABR,Arbor Realty Trust Inc,Mortgage REITs,Mid cap,USA,Financials,REIT—Mortgage,"$2,791,952,501 ",6.64%,1.74,8.85,5.04,59.47,16.83,1.02,Analyze
